"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3b","0.11783907230272654","0.034145488738336005","5000","2459","585","0.49190161967606477","0.11717656468706258","0.23821138211382115","0.09258148370325935","-2.3446612513475316","3859","138"
"fig3b","0.11783907230272654","0.03686945064519575","5000","2396","565","0.4793041391721656","0.11317736452709458","0.2361284939507718","0.0892121575684863","-2.3420601481820995","3860","139"
"fig3b","0.11783907230272654","0.039810717055349734","5000","2392","554","0.47850429914017195","0.11097780443911218","0.23192645215211033","0.08705258948210358","-2.33924845062856","3861","140"
"fig3b","0.11783907230272654","0.042986623470822764","5000","2437","597","0.4875024995001","0.1195760847830434","0.24528301886792453","0.09520095980803839","-2.3362088401138976","3862","141"
"fig3b","0.11783907230272654","0.046415888336127774","5000","2357","563","0.471505698860228","0.11277744451109778","0.23918575063613232","0.08920215956808639","-2.3329225289769226","3863","142"
"fig3b","0.11783907230272654","0.05011872336272722","5000","2383","538","0.4767046590681864","0.10777844431113777","0.22609060402684564","0.08394321135772845","-2.3293691283501516","3864","143"
"fig3b","0.11783907230272654","0.054116952654646375","5000","2383","559","0.4767046590681864","0.11197760447910418","0.2348993288590604","0.08814237152569486","-2.3255265029093266","3865","144"
"fig3b","0.11783907230272654","0.05843414133735175","5000","2326","538","0.46530693861227757","0.10777844431113777","0.23162870648904166","0.08451309738052389","-2.32137061098544","3866","145"
"fig3b","0.11783907230272654","0.06309573444801933","5000","2370","593","0.4741051789642072","0.1187762447510498","0.25052720371151416","0.09507098580283943","-2.316875328322226","3867","146"
"fig3b","0.11783907230272654","0.06812920690579614","5000","2411","550","0.4823035392921416","0.11017796440711858","0.22844112769485903","0.0860627874425115","-2.3120122535208907","3868","147"
"fig3b","0.11783907230272654","0.07356422544596414","5000","2431","563","0.48630273945210956","0.11277744451109778","0.23190789473684212","0.0884623075384923","-2.3067504929370557","3869","148"
"fig3b","0.11783907230272654","0.07943282347242814","5000","2326","559","0.46530693861227757","0.11197760447910418","0.2406532015470563","0.0887122575484903","-2.3010564224614996","3870","149"
"fig3b","0.11783907230272654","0.08576958985908942","5000","2397","498","0.47950409918016396","0.09978004399120176","0.20809007506255212","0.07580483903219357","-2.2948934232291265","3871","150"
