"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3a","0.013593563908785255","0.0005411695265464637","5000","2754","2701","0.5508898220355929","0.5402919416116777","0.9807622504537206","0.5127474505098981","-0.0021111941687763647","133","133"
"fig3a","0.013593563908785255","0.000630957344480193","5000","2731","2803","0.5462907418516296","0.5606878624275144","1.0","0.533373325334933","-0.0024613595483060635","134","134"
"fig3a","0.013593563908785255","0.0007356422544596414","5000","2771","2781","0.5542891421715657","0.5562887422515497","1.0","0.5285742851429713","-0.0028695821161477397","135","135"
"fig3a","0.013593563908785255","0.0008576958985908946","5000","2798","2743","0.5596880623875224","0.5486902619476105","0.9803501250446589","0.5207058588282344","-0.0033454799192043083","136","136"
"fig3a","0.013593563908785255","0.001","5000","2732","2775","0.5464907018596281","0.5550889822035593","1.0","0.5277644471105779","-0.0039002615780532324","137","137"
"fig3a","0.013593563908785255","0.001165914401179831","5000","2842","2854","0.5684863027394521","0.5708858228354329","1.0","0.5424615076984602","-0.0045469883162923","138","138"
"fig3a","0.013593563908785255","0.0013593563908785254","5000","2805","2836","0.5610877824435113","0.5672865426914617","1.0","0.5392321535692861","-0.005300878797072528","139","139"
"fig3a","0.013593563908785255","0.001584893192461114","5000","2836","2851","0.5672865426914617","0.5702859428114377","1.0","0.5419216156768647","-0.006179663625005105","140","140"
"fig3a","0.013593563908785255","0.0018478497974222907","5000","2913","2887","0.5826834633073386","0.5774845030993802","0.9910775566231984","0.5483503299340132","-0.007203997422749353","141","141"
"fig3a","0.013593563908785255","0.002154434690031882","5000","2909","2924","0.5818836232753449","0.584883023395321","1.0","0.5557888422315537","-0.008397937602950378","142","142"
"fig3a","0.013593563908785255","0.0025118864315095794","5000","2948","2933","0.5896820635872826","0.5866826634673066","0.9949135300101729","0.5571985602879425","-0.00978950028473946","143","143"
"fig3a","0.013593563908785255","0.0029286445646252374","5000","3061","3028","0.6122775444911018","0.6056788642271546","0.989222730241672","0.5750649870025994","-0.011411305341908928","144","144"
"fig3a","0.013593563908785255","0.003414548873833601","5000","3021","3026","0.6042791441711658","0.6052789442111578","1.0","0.5750649870025996","-0.013301324262045","145","145"
"fig3a","0.013593563908785255","0.003981071705534973","5000","3054","3073","0.610877824435113","0.6146770645870826","1.0","0.584133173365327","-0.01550374636050833","146","146"
"fig3a","0.013593563908785255","0.004641588833612782","5000","3083","3090","0.6166766646670666","0.6180763847230554","1.0","0.5872425514897021","-0.0180699809374687","147","147"
"fig3a","0.013593563908785255","0.0054116952654646375","5000","3169","3191","0.633873225354929","0.6382723455308938","1.0","0.6065786842631474","-0.021059815165642704","148","148"
