flavour,energy_low_GeV,energy_high_GeV,energy_center_GeV,baseline_low_km,baseline_high_km,baseline_center_km,psi_per_POT_per_cm2_per_100MeV_per_km
nue,0,0.10000000000000001,0.050000000000000003,0.7400000000000001,0.75,0.74500000000000011,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.050000000000000003,0.060000000000000005,0.055000000000000007,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.060000000000000005,0.070000000000000007,0.065000000000000002,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.070000000000000007,0.080000000000000002,0.075000000000000011,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.080000000000000002,0.089999999999999997,0.084999999999999992,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.089999999999999997,0.10000000000000001,0.095000000000000001,7.54454719797477e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.10000000000000001,0.11,0.10500000000000001,1.205668481568926e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.11,0.12000000000000001,0.115,6.5121732091982924e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.12000000000000001,0.13,0.125,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.13,0.14000000000000001,0.13500000000000001,1.7112170218668984e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.14000000000000001,0.15000000000000002,0.14500000000000002,3.2069442050556452e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.15000000000000002,0.16,0.15500000000000003,3.8506914883287376e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.16,0.16999999999999998,0.16499999999999998,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.16999999999999998,0.17999999999999999,0.17499999999999999,4.6537470027313576e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.17999999999999999,0.19,0.185,2.4901013736181196e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.19,0.20000000000000001,0.19500000000000001,5.182816833558782e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.20000000000000001,0.21000000000000002,0.20500000000000002,2.2384821875076337e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.21000000000000002,0.22000000000000003,0.21500000000000002,1.7235957908545099e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.22000000000000003,0.22999999999999998,0.22500000000000001,1.1181440490934185e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.22999999999999998,0.23999999999999999,0.23499999999999999,2.2797494894083384e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.23999999999999999,0.25,0.245,5.7128119270516239e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.25,0.26000000000000001,0.255,1.9801672374927501e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.26000000000000001,0.27000000000000002,0.26500000000000001,1.3311017374377535e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.27000000000000002,0.28000000000000003,0.27500000000000002,0
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.28000000000000003,0.28999999999999998,0.28500000000000003,1.6127927525309233e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.28999999999999998,0.29999999999999999,0.29499999999999998,3.0410135865321026e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.29999999999999999,0.31,0.30499999999999999,8.1736280921382092e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.31,0.32000000000000001,0.315,1.7211291615445837e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.32000000000000001,0.33000000000000002,0.32500000000000001,4.4290233550809767e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.33000000000000002,0.33999999999999997,0.33499999999999996,2.4768971363171613e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.33999999999999997,0.34999999999999998,0.34499999999999997,8.8950291883114354e-14
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.34999999999999998,0.35999999999999999,0.35499999999999998,2.3533235060443464e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.35999999999999999,0.37,0.36499999999999999,1.1495762431683625e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.37,0.38,0.375,1.5533333955463495e-12
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.38,0.39000000000000001,0.38500000000000001,1.870224660478889e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.39000000000000001,0.40000000000000002,0.39500000000000002,3.0702330509252949e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.40000000000000002,0.40999999999999998,0.40500000000000003,5.77100154915406e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.40999999999999998,0.41999999999999998,0.41499999999999998,8.9470709067091304e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.41999999999999998,0.42999999999999999,0.42499999999999999,6.9034654745359093e-13
nue,0.10000000000000001,0.20000000000000001,0.15000000000000002,0.42999999999999999,0.44,0.435,1.0730731663630231e-13
