"tested_point_index","delta_m2_eV2","sin2_2theta_mue","toys","observed_profiled_delta_nll","toy_90_critical","toy_95_critical","toy_99_critical","toy_mean","toy_standard_deviation"
"43","0.01","0.0019003","10000","28.876153813719327","3.8196550113474927","5.183126989603409","8.367788975759652","1.3672434727024447","1.8537001636370516"
"44","0.01","0.00198364","10000","28.875802722419735","3.8782302534031032","5.262379448096681","8.491020355274031","1.386193077134368","1.8745145827192757"
"45","0.01","0.00207063","10000","28.87543625714045","3.7014922518592357","5.05095199919424","8.251902913125775","1.332488547124504","1.8432481606666058"
"46","0.01","0.00216143","10000","28.875053744185493","3.8847060656865438","5.340617962568615","8.660238686285538","1.3836593249834546","1.9145998823669397"
"47","0.01","0.00225622","10000","28.874654425640188","3.788429798000209","5.1022232802145595","8.52652728723632","1.3736167218290913","1.8897532514521638"
"48","0.01","0.00235516","10000","28.874237627879666","3.8386365006917913","5.219829234833412","8.181518957258106","1.3618015770655192","1.8402252666873213"
"49","0.01","0.00245844","10000","28.873802550945754","3.8536565833724126","5.223298355220493","8.36605550064337","1.3846113951076677","1.8543331122819535"
"50","0.01","0.00256625","10000","28.873348394930076","3.8545997711091786","5.352851001117415","8.524383887056104","1.389525483086589","1.9159149227827765"
"51","0.01","0.00267879","10000","28.87287431783824","3.8462537873865017","5.218261357184986","8.617728095235577","1.3637442153026471","1.8953284816829157"
"52","0.01","0.00279627","10000","28.87237943561405","3.7709714720674015","5.273484905979956","8.580708700688717","1.3716009471128425","1.8938373030554068"
"53","0.01","0.00291889","10000","28.87186290638391","3.861482739380051","5.29358119874712","8.830494195576875","1.4017853179875355","1.9341424669185048"
"54","0.01","0.0030469","10000","28.871323677713406","3.8552473888395298","5.287480172175435","8.606728822829496","1.3584286794574134","1.9094289736240604"
"55","0.01","0.00318052","10000","28.870760823610397","3.85257231141793","5.229071544161059","8.240459269275732","1.3758574349905814","1.8668938970927875"
"56","0.01","0.00331999","10000","28.870173333921457","3.8296795657982443","5.22216275238128","8.216864330209376","1.3648738939968834","1.871145779822835"
"57","0.01","0.00346559","10000","28.869560030072535","3.8145131443525884","5.140501382619561","8.254249724013278","1.3591816611244765","1.8511089455461505"
"58","0.01","0.00361756","10000","28.868919902079654","3.94286419083744","5.397267672081341","8.801733891530318","1.4147657952790613","1.940523712756263"
"59","0.01","0.00377621","10000","28.868251645200587","3.7880116236785852","5.3192702604460464","8.891716115035422","1.3799128075279143","1.9210461400934462"
"60","0.01","0.00394181","10000","28.867554123288414","3.828807002828114","5.192808313755506","8.726952918575648","1.3689124597180133","1.8801256656527856"
"61","0.01","0.00411467","10000","28.86682603183118","3.821646125295615","5.201170350405789","8.722057333562645","1.3779808119754557","1.9049612027501197"
"62","0.01","0.00429511","10000","28.86606602432545","3.926569312421975","5.358661194355534","8.699188927835962","1.3963430371891803","1.8846909530429077"
"63","0.01","0.00448347","10000","28.865272670166974","3.8030386020067226","5.171989524447383","8.570021103864292","1.3670794409686111","1.8855893421936445"
"64","0.01","0.00468008","10000","28.864444581024884","3.936237747005123","5.4119039201806345","8.592676905220344","1.4140560179951536","1.9487594251538247"
